Film,Year,Awards,Nominations,Win
Still Alice,2014,1,1,False
Feast,2014,1,1,False
12 Years a Slave,2013,3,9,True
Gravity,2013,7,10,False
Dallas Buyers Club,2013,3,6,False
Frozen,2013,2,2,False
The Great Gatsby,2013,2,2,False
Her,2013,1,5,False
Blue Jasmine,2013,1,3,False
Mr Hublot,2013,1,1,False
The Lady in Number 6,2013,1,1,False
Helium,2013,1,1,False
The Great Beauty,2013,1,1,False
20 Feet from Stardom,2013,1,1,False
Argo,2012,3,7,True
Life of Pi,2012,4,11,False
Les Misérables,2012,3,8,False
Lincoln,2012,2,12,False
Django Unchained,2012,2,5,False
Skyfall,2012,2,5,False
Silver Linings Playbook,2012,1,8,False
Zero Dark Thirty,2012,1,5,False
Amour,2012,1,5,False
Anna Karenina,2012,1,4,False
Paperman,2012,1,1,False
Brave,2012,1,1,False
Searching for Sugar Man,2012,1,1,False
Inocente,2012,1,1,False
Curfew,2012,1,1,False
The Artist,2011,5,10,True
Hugo,2011,5,11,False
The Iron Lady,2011,2,2,False
The Descendants,2011,1,5,False
The Girl with the Dragon Tattoo,2011,1,5,False
Midnight in Paris,2011,1,4,False
The Help,2011,1,4,False
A Separation,2011,1,2,False
The Fantastic Flying Books of Mr. Morris Lessmore,2011,1,1,False
The Shore,2011,1,1,False
Undefeated,2011,1,1,False
The Muppets,2011,1,1,False
Saving Face,2011,1,1,False
Beginners,2011,1,1,False
Rango,2011,1,1,False
The King's Speech,2010,4,12,True
Inception,2010,4,8,False
The Social Network,2010,3,8,False
The Fighter,2010,2,7,False
Toy Story 3,2010,2,5,False
Alice in Wonderland,2010,2,3,False
Black Swan,2010,1,5,False
In a Better World,2010,1,1,False
The Lost Thing,2010,1,1,False
God of Love,2010,1,1,False
The Wolfman,2010,1,1,False
Strangers No More,2010,1,1,False
Inside Job,2010,1,1,False
The Hurt Locker,2009,6,9,True
Avatar,2009,3,9,False
Precious,2009,2,6,False
Up,2009,2,5,False
Crazy Heart,2009,2,3,False
Inglourious Basterds,2009,1,8,False
Star Trek,2009,1,4,False
The Young Victoria,2009,1,3,False
The Blind Side,2009,1,2,False
Music by Prudence,2009,1,1,False
The Secret in Their Eyes,2009,1,1,False
The Cove,2009,1,1,False
The New Tenants,2009,1,1,False
Logorama,2009,1,1,False
Slumdog Millionaire,2008,8,10,True
The Curious Case of Benjamin Button,2008,3,13,False
Milk,2008,2,8,False
The Dark Knight,2008,2,8,False
WALL-E,2008,1,6,False
The Reader,2008,1,5,False
The Duchess,2008,1,2,False
Departures,2008,1,1,False
Vicky Cristina Barcelona,2008,1,1,False
Smile Pinki,2008,1,1,False
Man on Wire,2008,1,1,False
Toyland,2008,1,1,False
La Maison en Petits Cubes,2008,1,1,False
No Country for Old Men,2007,4,8,True
The Bourne Ultimatum,2007,3,3,False
There Will Be Blood,2007,2,8,False
La Vie en rose,2007,2,3,False
Atonement,2007,1,7,False
Michael Clayton,2007,1,7,False
Ratatouille,2007,1,5,False
Juno,2007,1,4,False
Sweeney Todd: The Demon Barber of Fleet Street,2007,1,3,False
The Golden Compass,2007,1,2,False
Elizabeth: The Golden Age,2007,1,2,False
Taxi to the Dark Side,2007,1,1,False
Peter & the Wolf,2007,1,1,False
Once,2007,1,1,False
Le Mozart des pickpockets,2007,1,1,False
The Counterfeiters (Die Fälscher),2007,1,1,False
Freeheld,2007,1,1,False
The Departed,2006,4,5,True
Pan's Labyrinth (El laberinto del fauno),2006,3,6,False
Dreamgirls,2006,2,8,False
Little Miss Sunshine,2006,2,4,False
An Inconvenient Truth,2006,2,2,False
Babel,2006,1,7,False
The Queen,2006,1,6,False
Letters from Iwo Jima,2006,1,4,False
Pirates of the Caribbean: Dead Man's Chest,2006,1,4,False
The Danish Poet,2006,1,1,False
Happy Feet,2006,1,1,False
The Last King of Scotland,2006,1,1,False
The Lives of Others (Das Leben der Anderen),2006,1,1,False
Marie Antoinette,2006,1,1,False
West Bank Story,2006,1,1,False
The Blood of Yingzhou District,2006,1,1,False
Crash,2005,3,6,True
Brokeback Mountain,2005,3,8,False
Memoirs of a Geisha,2005,3,6,False
King Kong,2005,3,4,False
Capote,2005,1,5,False
Walk the Line,2005,1,5,False
The Constant Gardener,2005,1,4,False
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,1,3,False
Hustle & Flow,2005,1,2,False
Syriana,2005,1,2,False
March of the Penguins (La Marche de l'empereur),2005,1,1,False
Six Shooter,2005,1,1,False
The Moon and the Son: An Imagined Conversation,2005,1,1,False
A Note of Triumph: The Golden Age of Norman Corwin,2005,1,1,False
Tsotsi,2005,1,1,False
Wallace & Gromit: The Curse of the Were-Rabbit,2005,1,1,False
Million Dollar Baby,2004,4,7,True
The Aviator,2004,5,11,False
Ray,2004,2,6,False
The Incredibles,2004,2,4,False
Finding Neverland,2004,1,7,False
Sideways,2004,1,5,False
Lemony Snicket's A Series of Unfortunate Events,2004,1,4,False
Spider-Man 2,2004,1,3,False
Eternal Sunshine of the Spotless Mind,2004,1,2,False
The Motorcycle Diaries,2004,1,2,False
The Sea Inside,2004,1,2,False
Born into Brothels,2004,1,1,False
Mighty Times: The Children's March,2004,1,1,False
Wasp,2004,1,1,False
Ryan,2004,1,1,False
The Lord of the Rings: The Return of the King,2003,11,11,True
Master and Commander: The Far Side of the World,2003,2,10,False
Mystic River,2003,2,6,False
Cold Mountain,2003,1,7,False
Lost in Translation,2003,1,4,False
Finding Nemo,2003,1,4,False
The Barbarian Invasions,2003,1,2,False
Two Soldiers,2003,1,1,False
Monster,2003,1,1,False
Harvie Krumpet,2003,1,1,False
Chernobyl Heart,2003,1,1,False
The Fog of War,2003,1,1,False
Chicago,2002,6,13,True
The Pianist,2002,3,7,False
The Lord of the Rings: The Two Towers,2002,2,6,False
Frida,2002,2,6,False
The Hours,2002,1,9,False
Road to Perdition,2002,1,6,False
Adaptation,2002,1,4,False
Talk to Her (Hable con ella),2002,1,2,False
This Charming Man (Der Er En Yndig Mand),2002,1,1,False
Spirited Away,2002,1,1,False
Nowhere in Africa (Nirgendwo in Afrika),2002,1,1,False
The ChubbChubbs!,2002,1,1,False
Twin Towers,2002,1,1,False
Bowling for Columbine,2002,1,1,False
8 Mile,2002,1,1,False
A Beautiful Mind,2001,4,8,True
The Lord of the Rings: The Fellowship of the Ring,2001,4,13,False
Moulin Rouge!,2001,2,8,False
Black Hawk Down,2001,2,4,False
Gosford Park,2001,1,7,False
"Monsters, Inc.",2001,1,4,False
Pearl Harbor,2001,1,4,False
Iris,2001,1,3,False
Shrek,2001,1,2,False
Training Day,2001,1,2,False
Monster's Ball,2001,1,2,False
Thoth,2001,1,1,False
For the Birds,2001,1,1,False
No Man's Land,2001,1,1,False
Murder on a Sunday Morning (Un coupable idéal),2001,1,1,False
The Accountant,2001,1,1,False
Gladiator,2000,5,12,True
"Crouching Tiger, Hidden Dragon",2000,4,10,False
Traffic,2000,4,5,False
Erin Brockovich,2000,1,5,False
Almost Famous,2000,1,4,False
Wonder Boys,2000,1,3,False
How the Grinch Stole Christmas,2000,1,3,False
U-571,2000,1,2,False
Pollock,2000,1,2,False
Father and Daughter,2000,1,1,False
Into the Arms of Strangers: Stories of the Kindertransport,2000,1,1,False
Quiero ser (I want to be...),2000,1,1,False
Big Mama,2000,1,1,False
American Beauty,1999,5,8,True
The Matrix,1999,4,4,False
The Cider House Rules,1999,2,7,False
Topsy-Turvy,1999,2,4,False
Sleepy Hollow,1999,1,3,False
Boys Don't Cry,1999,1,2,False
Tarzan,1999,1,1,False
One Day in September,1999,1,1,False
The Red Violin (Le violon rouge),1999,1,1,False
The Old Man and the Sea,1999,1,1,False
My Mother Dreams the Satan's Disciples in New York,1999,1,1,False
King Gimp,1999,1,1,False
"Girl, Interrupted",1999,1,1,False
All About My Mother (Todo sobre mi madre),1999,1,1,False
Shakespeare in Love,1998,7,13,True
Saving Private Ryan,1998,5,11,False
Life Is Beautiful (La vita è bella),1998,3,7,False
Elizabeth,1998,1,7,False
Gods and Monsters,1998,1,3,False
The Prince of Egypt,1998,1,2,False
Affliction,1998,1,2,False
What Dreams May Come,1998,1,2,False
The Personals,1998,1,1,False
The Last Days,1998,1,1,False
Election Night (Valgaften),1998,1,1,False
Bunny,1998,1,1,False
Titanic,1997,11,14,True
Good Will Hunting,1997,2,9,False
L.A. Confidential,1997,2,9,False
As Good as It Gets,1997,2,7,False
The Full Monty,1997,1,4,False
Men in Black,1997,1,3,False
Visas and Virtue,1997,1,1,False
Character (Karakter),1997,1,1,False
Geri's Game,1997,1,1,False
A Story of Healing,1997,1,1,False
The Long Way Home,1997,1,1,False
The English Patient,1996,9,12,True
Fargo,1996,2,7,False
Shine,1996,1,7,False
Evita,1996,1,5,False
Jerry Maguire,1996,1,5,False
Independence Day,1996,1,2,False
Emma,1996,1,2,False
Sling Blade,1996,1,2,False
The Ghost and the Darkness,1996,1,1,False
Kolya,1996,1,1,False
The Nutty Professor,1996,1,1,False
Quest,1996,1,1,False
When We Were Kings,1996,1,1,False
Breathing Lessons: The Life and Work of Mark O'Brien,1996,1,1,False
Dear Diary,1996,1,1,False
Braveheart,1995,5,10,True
Apollo 13,1995,2,9,False
Pocahontas,1995,2,2,False
The Usual Suspects,1995,2,2,False
Restoration,1995,2,2,False
Babe,1995,1,7,False
Sense and Sensibility,1995,1,7,False
Il Postino: The Postman,1995,1,5,False
Dead Man Walking,1995,1,4,False
Leaving Las Vegas,1995,1,4,False
Mighty Aphrodite,1995,1,2,False
Anne Frank Remembered,1995,1,1,False
A Close Shave,1995,1,1,False
Lieberman in Love,1995,1,1,False
One Survivor Remembers,1995,1,1,False
Antonia's Line (Antonia),1995,1,1,False
Toy Story,1995,0 (1),3,False
Forrest Gump,1994,6,13,True
The Lion King,1994,2,4,False
Speed,1994,2,3,False
Ed Wood,1994,2,2,False
Pulp Fiction,1994,1,7,False
Bullets Over Broadway,1994,1,7,False
The Madness of King George,1994,1,4,False
Legends of the Fall,1994,1,3,False
A Time for Justice,1994,1,1,False
Franz Kafka's It's a Wonderful Life,1994,1,1,False
Maya Lin: A Strong Clear Vision,1994,1,1,False
Burnt by the Sun (Utomlyonnye solntsem),1994,1,1,False
Trevor,1994,1,1,False
"The Adventures of Priscilla, Queen of the Desert",1994,1,1,False
Bob's Birthday,1994,1,1,False
Blue Sky,1994,1,1,False
Schindler's List,1993,7,12,True
The Piano,1993,3,8,False
Jurassic Park,1993,3,3,False
Philadelphia,1993,2,5,False
The Fugitive,1993,1,7,False
The Age of Innocence,1993,1,5,False
The Wrong Trousers,1993,1,1,False
Belle Epoque (The Beautiful Era),1993,1,1,False
I Am a Promise: The Children of Stanton Elementary School,1993,1,1,False
Mrs. Doubtfire,1993,1,1,False
Black Rider (Schwarzfahrer),1993,1,1,False
Defending Our Lives,1993,1,1,False
Unforgiven,1992,4,9,True
Howards End,1992,3,9,False
Bram Stoker's Dracula,1992,3,4,False
Aladdin,1992,2,5,False
The Crying Game,1992,1,6,False
Scent of a Woman,1992,1,4,False
A River Runs Through It,1992,1,3,False
Indochine,1992,1,2,False
My Cousin Vinny,1992,1,1,False
The Panama Deception,1992,1,1,False
Educating Peter,1992,1,1,False
The Last of the Mohicans,1992,1,1,False
Death Becomes Her,1992,1,1,False
Omnibus,1992,1,1,False
Mona Lisa Descending a Staircase,1992,1,1,False
The Silence of the Lambs,1991,5,7,True
Terminator 2: Judgment Day,1991,4,6,False
Bugsy,1991,2,10,False
JFK,1991,2,8,False
Beauty and the Beast,1991,2,6,False
Thelma & Louise,1991,1,6,False
The Fisher King,1991,1,5,False
In the Shadow of the Stars,1991,1,1,False
Manipulation,1991,1,1,False
Mediterraneo,1991,1,1,False
Session Man,1991,1,1,False
City Slickers,1991,1,1,False
"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1991,1,1,False
Dances with Wolves,1990,7,12,True
Dick Tracy,1990,3,7,False
Ghost,1990,2,5,False
Goodfellas,1990,1,6,False
The Hunt for Red October,1990,1,3,False
Reversal of Fortune,1990,1,3,False
Cyrano de Bergerac,1990,1,5,False
American Dream,1990,1,1,False
Journey of Hope (Reise der Hoffnung),1990,1,1,False
Days of Waiting,1990,1,1,False
Creature Comforts,1990,1,1,False
The Lunch Date,1990,1,1,False
Misery,1990,1,1,False
Total Recall,1990,0 (1),2,False
Driving Miss Daisy,1989,4,9,True
Glory,1989,3,5,False
Born on the Fourth of July,1989,2,8,False
My Left Foot,1989,2,5,False
The Little Mermaid,1989,2,3,False
Dead Poets Society,1989,1,4,False
The Abyss,1989,1,4,False
Indiana Jones and the Last Crusade,1989,1,3,False
Henry V,1989,1,3,False
The Johnstown Flood,1989,1,1,False
Common Threads: Stories from the Quilt,1989,1,1,False
Cinema Paradiso,1989,1,1,False
Work Experience,1989,1,1,False
Batman,1989,1,1,False
Balance,1989,1,1,False
Rain Man,1988,4,8,True
Dangerous Liaisons,1988,3,7,False
Who Framed Roger Rabbit,1988,3 (1),6,False
Mississippi Burning,1988,1,7,False
Working Girl,1988,1,6,False
The Accidental Tourist,1988,1,4,False
A Fish Called Wanda,1988,1,3,False
Pelle the Conqueror (Pelle erobreren),1988,1,2,False
The Accused,1988,1,1,False
The Appointments of Dennis Jennings,1988,1,1,False
Beetlejuice,1988,1,1,False
Bird,1988,1,1,False
Hôtel Terminus: The Life and Times of Klaus Barbie,1988,1,1,False
The Milagro Beanfield War,1988,1,1,False
Tin Toy,1988,1,1,False
You Don't Have to Die,1988,1,1,False
The Last Emperor,1987,9,9,True
Moonstruck,1987,3,6,False
The Untouchables,1987,1,4,False
Babette's Feast (Babettes gæstebud),1987,1,1,False
Dirty Dancing,1987,1,1,False
Harry and the Hendersons,1987,1,1,False
Innerspace,1987,1,1,False
The Man Who Planted Trees (L' Homme qui plantait des arbres),1987,1,1,False
Ray's Male Heterosexual Dance Hall,1987,1,1,False
The Ten-Year Lunch,1987,1,1,False
Wall Street,1987,1,1,False
Young at Heart,1987,1,1,False
RoboCop,1987,0 (1),2,False
Platoon,1986,4,8,True
A Room with a View,1986,3,8,False
Hannah and Her Sisters,1986,3,7,False
Aliens,1986,2,7,False
The Mission,1986,1,7,False
Children of a Lesser God,1986,1,5,False
The Color of Money,1986,1,4,False
Top Gun,1986,1,4,False
Round Midnight,1986,1,2,False
Artie Shaw: Time Is All You've Got,1986,1,1,False
The Assault (De Aanslag),1986,1,1,False
Down and Out in America,1986,1,1,False
The Fly,1986,1,1,False
A Greek Tragedy,1986,1,1,False
Precious Images,1986,1,1,False
"Women – for America, for the World",1986,1,1,False
Out of Africa,1985,7,11,True
Witness,1985,2,8,False
Cocoon,1985,2,2,False
Prizzi's Honor,1985,1,8,False
Back to the Future,1985,1,4,False
Kiss of the Spider Woman,1985,1,4,False
Ran,1985,1,4,False
The Official Story (La Historia Oficial),1985,1,2,False
The Trip to Bountiful,1985,1,2,False
White Nights,1985,1,2,False
Anna & Bella,1985,1,1,False
Broken Rainbow,1985,1,1,False
Mask,1985,1,1,False
Molly's Pilgrim,1985,1,1,False
Witness to War: Dr. Charlie Clements,1985,1,1,False
Amadeus,1984,8,11,True
The Killing Fields,1984,3,7,False
A Passage to India,1984,2,11,False
Places in the Heart,1984,2,7,False
Indiana Jones and the Temple of Doom,1984,1,2,False
Charade,1984,1,1,False
Dangerous Moves (La Diagonale du fou),1984,1,1,False
Purple Rain,1984,1,1,False
The Stone Carvers,1984,1,1,False
The Times of Harvey Milk,1984,1,1,False
Up,1984,1,1,False
The Woman in Red,1984,1,1,False
The River,1984,0 (1),4,False
Terms of Endearment,1983,5,11,True
The Right Stuff,1983,4,8,False
Fanny & Alexander (Fanny och Alexander),1983,4,6,False
Tender Mercies,1983,2,5,False
Yentl,1983,1,5,False
Flashdance,1983,1,4,False
Boys and Girls,1983,1,1,False
Flamenco at 5:15,1983,1,1,False
He Makes Me Feel Like Dancin',1983,1,1,False
Sundae in New York,1983,1,1,False
The Year of Living Dangerously,1983,1,1,False
Return of the Jedi,1983,0 (1),4,False
Gandhi,1982,8,11,True
E.T.: The Extra-Terrestrial,1982,4,9,False
An Officer and a Gentleman,1982,2,6,False
Tootsie,1982,1,10,False
Victor/Victoria,1982,1,7,False
Sophie's Choice,1982,1,5,False
Missing,1982,1,4,False
If You Love This Planet,1982,1,1,False
Just Another Missing Kid,1982,1,1[2],False
A Shocking Accident,1982,1,1,False
Tango,1982,1,1,False
To Begin Again (Volver a empezar),1982,1,1,False
Quest for Fire,1982,1,1,False
Chariots of Fire,1981,4,7,True
Raiders of the Lost Ark,1981,4 (1),8,False
Reds,1981,3,12,False
On Golden Pond,1981,3,10,False
Arthur,1981,2,4,False
An American Werewolf in London,1981,1,1,False
Close Harmony,1981,1,1,False
Crac,1981,1,1,False
Genocide,1981,1,1,False
Mephisto,1981,1,1,False
Violet,1981,1,1,False
Ordinary People,1980,4,6,True
Tess,1980,3,6,False
Raging Bull,1980,2,8,False
Fame,1980,2,6,False
Melvin and Howard,1980,2,3,False
Coal Miner's Daughter,1980,1,7,False
The Empire Strikes Back,1980,1 (1),3,False
The Dollar Bottom,1980,1,1,False
The Fly (A Légy),1980,1,1,False
From Mao to Mozart: Isaac Stern in China,1980,1,1,False
Karl Hess: Toward Liberty,1980,1,1,False
Moscow Does Not Believe in Tears,1980,1,1,False
Kramer vs. Kramer,1979,5,9,True
All That Jazz,1979,4,9,False
Apocalypse Now,1979,2,8,False
Norma Rae,1979,2,4,False
Breaking Away,1979,1,5,False
Alien,1979,1,2,False
Being There,1979,1,2,False
A Little Romance,1979,1,2,False
Best Boy,1979,1,1,False
Board and Care,1979,1,1,False
Every Child,1979,1,1,False
Paul Robeson: Tribute to an Artist,1979,1,1,False
The Tin Drum (Die Blechtrommel),1979,1,1,False
The Black Stallion,1979,0 (1),2,False
The Deer Hunter,1978,5,9,True
Coming Home,1978,3,8,False
Midnight Express,1978,2,6,False
Heaven Can Wait,1978,1,9,False
Days of Heaven,1978,1,4,False
California Suite,1978,1,3,False
The Buddy Holly Story,1978,1,3,False
Death on the Nile,1978,1,1,False
The Flight of the Gossamer Condor,1978,1,1,False
Get Out Your Handkerchiefs (Préparez vos mouchoirs),1978,1,1,False
Scared Straight!,1978,1,1,False
Special Delivery,1978,1,1,False
Teenage Father,1978,1,1,False
Thank God It's Friday,1978,1,1,False
Superman,1978,0 (1),3,False
Annie Hall,1977,4,5,True
Star Wars,1977,6 (1),10,False
Julia,1977,3,11,False
Close Encounters of the Third Kind,1977,1 (1),8,False
The Goodbye Girl,1977,1,5,False
A Little Night Music,1977,1,2,False
Gravity Is My Enemy,1977,1,1,False
I'll Find a Way,1977,1,1,False
Madame Rosa (La Vie devant soi),1977,1,1,False
The Sand Castle (Le Château de sable),1977,1,1,False
Who Are the DeBolts? And Where Did They Get Nineteen Kids?,1977,1,1,False
You Light Up My Life,1977,1,1,False
Rocky,1976,3,10,True
Network,1976,4,10,False
All the President's Men,1976,4,8,False
Bound for Glory,1976,2,6,False
A Star Is Born,1976,1,4,False
Fellini's Casanova (Il Casanova di Federico Fellini),1976,1,2,False
The Omen,1976,1,2,False
Black and White in Color (Noirs et blancs en couleur),1976,1,1,False
"Harlan County, USA",1976,1,1,False
In the Region of Ice,1976,1,1,False
Leisure,1976,1,1,False
Number Our Days,1976,1,1,False
King Kong,1976,0 (1),2,False
Logan's Run,1976,0 (1),2,False
One Flew Over the Cuckoo's Nest,1975,5,9,True
Barry Lyndon,1975,4,7,False
Jaws,1975,3,4,False
Dog Day Afternoon,1975,1,6,False
Nashville,1975,1,5,False
Shampoo,1975,1,4,False
The Sunshine Boys,1975,1,4,False
Angel and Big Joe,1975,1,1,False
Dersu Uzala,1975,1,1,False
The End of the Game,1975,1,1,False
Great (Great (Isambard Kingdom Brunel)),1975,1,1,False
The Man Who Skied Down Everest,1975,1,1,False
The Hindenburg,1975,0 (2),3,False
The Godfather: Part II,1974,6,11,True
The Towering Inferno,1974,3,8,False
The Great Gatsby,1974,2,2,False
Chinatown,1974,1,11,False
Murder on the Orient Express,1974,1,6,False
Earthquake,1974,1 (1),4,False
Alice Doesn't Live Here Anymore,1974,1,3,False
Amarcord,1974,1,3[3],False
Harry and Tonto,1974,1,2,False
Closed Mondays,1974,1,1,False
Don't,1974,1,1,False
Hearts and Minds,1974,1,1,False
"One-Eyed Men Are Kings (...borgnes sont rois, Les)",1974,1,1,False
The Sting,1973,7,10,True
The Exorcist,1973,2,10,False
The Way We Were,1973,2,6,False
Cries and Whispers (Viskningar och rop),1973,1,5,False
A Touch of Class,1973,1,5,False
Day for Night (La Nuit américaine),1973,1,4,False
Paper Moon,1973,1,4,False
The Paper Chase,1973,1,3,False
Save the Tiger,1973,1,3,False
The Bolero,1973,1,1,False
Frank Film,1973,1,1,False
The Great American Cowboy,1973,1,1,False
Princeton: A Search for Answers,1973,1,1,False
The Godfather,1972,3,10[4],True
Cabaret,1972,8,10,False
The Poseidon Adventure,1972,1 (1),8,False
Travels with My Aunt,1972,1,4,False
Butterflies Are Free,1972,1,3,False
The Candidate,1972,1,2,False
The Discreet Charm of the Bourgeoisie (Le charme discret de la bourgeoisie),1972,1,2,False
A Christmas Carol,1972,1,1[5],False
Limelight,1972,1,1[6],False
Marjoe,1972,1,1,False
Norman Rockwell's World... An American Dream,1972,1,1,False
This Tiny World,1972,1,1,False
The French Connection,1971,5,8,True
Fiddler on the Roof,1971,3,8,False
The Last Picture Show,1971,2,8,False
Nicholas and Alexandra,1971,2,6,False
Sentinels of Silence,1971,2,2,False
Bedknobs and Broomsticks,1971,1,5,False
Summer of '42,1971,1,4,False
The Garden of the Finzi-Continis (Il Giardino dei Finzi-Contini),1971,1,2,False
The Hospital,1971,1,2,False
Klute,1971,1,2,False
Shaft,1971,1,2,False
The Crunch Bird,1971,1,1,False
The Hellstrom Chronicle,1971,1,1,False
Patton,1970,7,10,True
Ryan's Daughter,1970,2,4,False
Airport,1970,1,10,False
Love Story,1970,1,7,False
M*A*S*H,1970,1,5,False
Tora! Tora! Tora!,1970,1,5,False
Women in Love,1970,1,4,False
Lovers and Other Strangers,1970,1,3,False
Woodstock,1970,1,3,False
Cromwell,1970,1,2,False
Investigation of a Citizen Above Suspicion (Indagine su un cittadino al di sopra di ogni sospetto),1970,1,2,False
Interviews with My Lai Veterans,1970,1,1,False
Is It Always Right to Be Right?,1970,1,1,False
Let It Be,1970,1,1,False
The Resurrection of Broncho Billy,1970,1,1,False
Midnight Cowboy,1969,3,7,True
Butch Cassidy and the Sundance Kid,1969,4,7,False
"Hello, Dolly!",1969,3,7,False
