file,title,entityType,runtimeSeconds,synopsis,rating_count,rating,en_type,en_url,sdh_sub_lang,url,dir
1021_Never_Surrender_A_Galaxy_Quest_Documentary,Never Surrender: A Galaxy Quest Documentary,Movie,5203.0,"With beloved cult classic Galaxy Quest reaching its 20th Anniversary, this star-studded anniversary documentary unveils how the film turned fans in to true heroes and predicted a future where geeks would rule the world! The cast and crew recall how a fire on set, the loss of a powerful director and an unconvinced studio couldn't stop the film that would never give up and never surrender!",769.0,4.7,sdh,https://cf-timedtext.aux.pv-cdn.net/2116/95e5/64b2/414c-ae35-18611325de77/bb947765-7603-4ae0-ac5c-6d4fcccdf4da.ttml2,pt-br,https://cf-timedtext.aux.pv-cdn.net/58ca/ad7e/7bd2/479c-9f9d-e066ecfb5a92/0512e206-b8ea-4c7f-b76d-5ba6037e950c.ttml2,com
1022_Argentos_Dracula,Argento's Dracula,Movie,6598.0,"Count Dracula wants the blood of Mina, the wife of Jonathan Harker, the man in charge of drawing up the inventory of his personal library. The dark lord of the castle believes that the woman looks like a drop of water to the beloved Dolingen De Gratz and that they are united by an ancient bond, a love curse.",376.0,3.6,sdh,https://cf-timedtext.aux.pv-cdn.net/a9b4/714b/2bed/4d1f-8673-804cbb3fb618/16ef985f-cb05-4be1-a6ae-0ecc15e0efca.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/a9b4/714b/2bed/4d1f-8673-804cbb3fb618/16ef985f-cb05-4be1-a6ae-0ecc15e0efca.ttml2,com
1023_Two_If_By_Sea,Two If By Sea,Movie,5754.0,"A romantic comedy about love, laughter and larceny, a two-bit con artist, with a stolen painting in tow, tries to plan a romantic weekend with his girlfriend on a swank Cape Cod island.",261.0,4.0,sdh,https://cf-timedtext.aux.pv-cdn.net/f4d7/402e/c02f/493a-b772-a4897f496f69/bfed8cbb-a979-4f7d-b69c-fdba4d551a5b.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/f4d7/402e/c02f/493a-b772-a4897f496f69/bfed8cbb-a979-4f7d-b69c-fdba4d551a5b.ttml2,com
1024_Curse_of_Aurore,Curse of Aurore,Movie,5379.0,"A ""Dark Web"" thumb drive reveals footage of three American filmmakers in rural Quebec researching a historic child murder case. After witnessing several disturbing paranormal occurrences, they attempt to communicate with the spirit of the child.",300.0,3.6,sdh,https://cf-timedtext.aux.pv-cdn.net/e311/a397/7877/4c33-9df5-4467ee347283/82467ade-e2b4-4647-a82f-38752c531b27.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/e311/a397/7877/4c33-9df5-4467ee347283/82467ade-e2b4-4647-a82f-38752c531b27.ttml2,com
1025_The_Thing_Inside_Us,The Thing Inside Us,Movie,4993.0,"A husband sets cameras around his home in an effort to document his wife's sleepwalking. What he finds could not only destroy his relationship, but the world itself.",64.0,2.9,sdh,https://cf-timedtext.aux.pv-cdn.net/8a85/8e9d/56d3/49b5-bcdf-54f21948219e/9eb7fe23-cae1-4571-93f6-699d3f4a94c7.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/8a85/8e9d/56d3/49b5-bcdf-54f21948219e/9eb7fe23-cae1-4571-93f6-699d3f4a94c7.ttml2,com
1026_We_Have_Always_Lived_in_the_Castle,We Have Always Lived in the Castle,Movie,5717.0,"Two sisters (Alexandra Daddario and Taissa Farmiga) live secluded in a large manor and care for their deranged uncle (Crispin Glover). The rest of their family died five years before, under suspicious circumstances. When a cousin (Sebastian Stan) arrives for a visit, family secrets and scandals unravel. Based on the beloved Shirley Jackson novel.",832.0,3.9,sdh,https://cf-timedtext.aux.pv-cdn.net/67ce/a341/a685/4a6a-81b8-3e4c664276bd/6a883c0b-e003-48de-a2e3-6c197af6b969.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/67ce/a341/a685/4a6a-81b8-3e4c664276bd/6a883c0b-e003-48de-a2e3-6c197af6b969.ttml2,com
1027_Immortal_Demon_Slayer,Immortal Demon Slayer,Movie,7385.0,"Five hundred years before the Monkey King wreaks havoc on the heavenly kingdom, Wukong (Eddie Peng) refuses to bow down to his destiny when he sets out to rebel against the gods.",440.0,4.6,sdh,https://cf-timedtext.aux.pv-cdn.net/312d/e176/57bc/4d09-97b8-2cf9518fb334/a5d7f83f-16ee-4c3e-b44d-7da778b21bf8.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/312d/e176/57bc/4d09-97b8-2cf9518fb334/a5d7f83f-16ee-4c3e-b44d-7da778b21bf8.ttml2,com
1028_Jalsa,Jalsa,Movie,7618.0,A hit and run of an 18 year old girl raises many a question only to realise that truth is rarely pure and never simple.,109.0,4.1,sdh,https://cf-timedtext.aux.pv-cdn.net/f5af/eecd/8124/4c12-8305-bc743c644aa2/0694107e-dcca-4991-ab56-3e04ee5469a9.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/f5af/eecd/8124/4c12-8305-bc743c644aa2/0694107e-dcca-4991-ab56-3e04ee5469a9.ttml2,com
1029_The_Salesman,The Salesman,Movie,7434.0,"Forced out of their apartment due to dangerous works on a neighboring building, Emad and Rana move into a new flat in the center of Tehran. An incident linked to the previous tenant will dramatically change the young coupleâ€™s life.",38.0,3.9,sdh,https://cf-timedtext.aux.pv-cdn.net/3089/68b7/d2e4/43ea-8651-4a5d513d91a1/8fc421f9-d6a8-4739-81c9-cf49a111391b.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/3089/68b7/d2e4/43ea-8651-4a5d513d91a1/8fc421f9-d6a8-4739-81c9-cf49a111391b.ttml2,com
1030_The_Big_Easy,The Big Easy,Movie,6037.0,"Set in New Orleans, this crime thriller tells the romantic story of a classy detective whose investigation of a gangland murder lands him in trouble with the city's new District Attorney, a woman with a rigid penchant for following the law.",761.0,4.5,sdh,https://cf-timedtext.aux.pv-cdn.net/1b04/aeb5/591c/4ea5-a7b0-42016858cf06/11d1ac1f-4c11-4e71-89f1-62e8ec4e1b13.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/1b04/aeb5/591c/4ea5-a7b0-42016858cf06/11d1ac1f-4c11-4e71-89f1-62e8ec4e1b13.ttml2,com
1032_Loves_Kitchen,Love's Kitchen,Movie,5415.0,"After a poor review from a critic and a chat from chef Gordon Ramsay, a talented but grief stricken London chef turns a country pub into a gourmet eatery. His dessert trifle catches the eye - and taste - of Kate, and they soon discover that the recipe for true happiness is a pinch of teamwork and a whole lot of love.",2705.0,3.8,sdh,https://cf-timedtext.aux.pv-cdn.net/0a08/6641/9f1a/46ad-85b7-4ffecb7a6ac1/c78f0797-ee0b-4873-932f-7b622411a2db.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/0a08/6641/9f1a/46ad-85b7-4ffecb7a6ac1/c78f0797-ee0b-4873-932f-7b622411a2db.ttml2,com
1033_Stormswept,Stormswept,Movie,5906.0,"Deception, sex and murder on a night of torrential storms, where lightning flashes reveal fragments of dark secrets; where the erotic soon gives way to violence, when a murderer  shows up for dinner. A gripping, spine-chilling yarn that packs enough surprises to keep viewers on the edge of their seats.",55.0,3.2,sdh,https://cf-timedtext.aux.pv-cdn.net/f4ae/d923/5b5d/49b9-8676-ca2544766e4a/54186447-1c06-4f9b-8fa8-892afd1d23cb.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/f4ae/d923/5b5d/49b9-8676-ca2544766e4a/54186447-1c06-4f9b-8fa8-892afd1d23cb.ttml2,com
1037_Crack_in_The_Floor,Crack in The Floor,Movie,5391.0,A vacation of hiking and camping suddenly becomes a survivalist nightmare when a group of athletic young friends happen upon a deranged hermit's cabin in the woods.,50.0,2.6,sdh,https://cf-timedtext.aux.pv-cdn.net/d741/bd40/4298/4c4b-9e98-2f256c9805bc/1bba90b1-0714-49c9-8bee-d2ba881352d8.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/d741/bd40/4298/4c4b-9e98-2f256c9805bc/1bba90b1-0714-49c9-8bee-d2ba881352d8.ttml2,com
103_6Headed_Shark_Attack,6-Headed Shark Attack,Movie,5340.0,"What is supposed to be a marriage boot camp on a remote island turns into the ultimate test for survival when a 6-headed shark starts attacking the beach. Trapped with minimal weapons they try to fight off the shark, but quickly discover that no one is safe in the water, or on land.",229.0,4.0,sdh,https://cf-timedtext.aux.pv-cdn.net/670a/40bc/26d1/410b-80f1-009735bebab0/b2afb724-9562-4cec-9bd7-1e6349e75ea4.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/670a/40bc/26d1/410b-80f1-009735bebab0/b2afb724-9562-4cec-9bd7-1e6349e75ea4.ttml2,com
1043_A_Haunting_on_Dice_Road_2_Town_of_the_Dead,A Haunting on Dice Road 2: Town of the Dead,Movie,4438.0,"When the Midcalf family decided to rescue an old Michigan landmark, they soon realized they were the ones in need of saving. Dark shadowy figures, disembodied voices, and full body apparitions of those who perished in a deadly plague are said to be the cause of the ghastly phenomenon. Witness the shocking evidence unfold as paranormal researchers attempt to communicate with the dead.",246.0,3.9,sdh,https://cf-timedtext.aux.pv-cdn.net/cb18/0267/1271/417c-bc09-17680a34fe2d/8759418a-3f1a-4c5b-bb37-7906754113aa.dfxp,en-us,https://cf-timedtext.aux.pv-cdn.net/cb18/0267/1271/417c-bc09-17680a34fe2d/8759418a-3f1a-4c5b-bb37-7906754113aa.dfxp,com
1046_A_Christmas_Snow,A Christmas Snow,Movie,5113.0,"Kathleen has carried around the unwanted memory of her father abandoning her and her mother on Christmas Eve. For the past 30 years, she refuses to celebrate Christmas in any fashion.  But a snow storm brings her face to face with the hurts of her past, she will have to choose; letting go and grabbing hold of a life changing forgiveness or continuing to carry her pain and bitterness with her.",1091.0,4.5,sdh,https://cf-timedtext.aux.pv-cdn.net/87f5/25ad/887f/4670-99d9-3e2425dfed15/576b3b03-af10-4209-99b6-e7d16a1ee299.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/87f5/25ad/887f/4670-99d9-3e2425dfed15/576b3b03-af10-4209-99b6-e7d16a1ee299.ttml2,com
1047_Other_Monsters,Other Monsters,Movie,5609.0,"Wrongly accused of murdering his only love, a troubled ex-Marine embarks on a bloody quest for justice.",1.0,3.0,sdh,https://cf-timedtext.aux.pv-cdn.net/6356/b62b/0502/4d28-b194-b1636e1ffee2/a8d965a4-8386-48c2-afd8-5e84e6016a5d.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/6356/b62b/0502/4d28-b194-b1636e1ffee2/a8d965a4-8386-48c2-afd8-5e84e6016a5d.ttml2,com
1049_Sherlock_Holmes_The_Hound_of_the_Baskervilles,Sherlock Holmes: The Hound of the Baskervilles,Movie,6018.0,"Sherlock Holmes comes to the aid of his friend Henry Baskerville, who is under a family curse and menaced by a demonic dog that prowls the bogs near his estate and murders people.",238.0,4.0,sdh,https://cf-timedtext.aux.pv-cdn.net/f6fc/6ed2/7d1e/4cea-82cc-1f927ab9b51c/0b4ab010-e847-4e79-bd58-eab6e59746bd.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/f6fc/6ed2/7d1e/4cea-82cc-1f927ab9b51c/0b4ab010-e847-4e79-bd58-eab6e59746bd.ttml2,com
104_You_May_Now_Kill_The_Bride,You May Now Kill The Bride,Movie,5341.0,"After her boyfriend Mark finally pops the question, Nicole finds herself in the midst of planning her dream wedding. In over her head with no family of her own, Nicole is only too happy when Markâ€™s stepsister Audrey surprises them with a visit and offers to help plan the wedding.",33.0,3.5,sdh,https://cf-timedtext.aux.pv-cdn.net/0a69/ff17/f1ef/4cba-86b1-8d40c589216d/3dbe80f6-0423-4ba5-aef6-df394f351cc3.dfxp,en-us,https://cf-timedtext.aux.pv-cdn.net/0a69/ff17/f1ef/4cba-86b1-8d40c589216d/3dbe80f6-0423-4ba5-aef6-df394f351cc3.dfxp,com
1052_The_Gracefield_Incident,The Gracefield Incident,Movie,5113.0,"In Gracefield, three couples are spending a long weekend in a luxurious cabin when suddenly an uninvited guest in the form of a meteorite, comes crashing the party...",383.0,3.0,sdh,https://cf-timedtext.aux.pv-cdn.net/30d1/630a/aaa5/4afd-96ae-eb30c220afb7/faa6c41c-0a96-4187-b6bc-7a074fa6eb82.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/30d1/630a/aaa5/4afd-96ae-eb30c220afb7/faa6c41c-0a96-4187-b6bc-7a074fa6eb82.ttml2,com
1053_Honsla_Rakh,Honsla Rakh,Movie,8700.0,"A loveable, rooted, desi, punjabi young man, who's a single father with a seven year old boy attempts to find love again.",58.0,3.9,subtitle,https://cf-timedtext.aux.pv-cdn.net/9500/742b/aba6/4b7b-b7dd-d751ffd2b9bf/cfa853dd-ec3b-4f2e-ae29-b0bbf161a980.ttml2,,,com
1054_Carolina_Low,Carolina Low,Movie,4997.0,Childhood friends Henry and Oshel leave a peaceful life behind when they start robbing trains and banks in the hills of North Carolina in this depression-era Appalachian western.,76.0,3.4,sdh,https://cf-timedtext.aux.pv-cdn.net/222b/0208/c4f9/4d62-a2cd-eb411ed69830/9a45badf-d948-4bfb-a1f0-959a3bdfa420.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/222b/0208/c4f9/4d62-a2cd-eb411ed69830/9a45badf-d948-4bfb-a1f0-959a3bdfa420.ttml2,com
1055_Effigy_Poison_and_the_City,Effigy: Poison and the City,Movie,5075.0,1828 in the German port city of Bremen: a female law clerk tries to prove her worth during the investigation of multiple poisonings. Based on the true story of female serial killer Gesche Gottfried.,19.0,2.8,sdh,https://cf-timedtext.aux.pv-cdn.net/5044/df10/db42/44ed-9987-b7caac44c04a/b5bd454d-a431-48d5-98b1-1fa4bf85bdf5.ttml2,pt-br,https://cf-timedtext.aux.pv-cdn.net/1468/cc0d/1e0b/4117-9aaa-e0259df12111/ac76c788-8efd-409a-9c70-b72552eb4e6a.ttml2,com
1057_Doctors_Wives,Doctors' Wives,Movie,6113.0,"The wives of several high-powered doctors feel neglected due to their husbands focus on their careers, so they embark on a regimen of sex, drugs and booze.",21.0,4.2,sdh,https://cf-timedtext.aux.pv-cdn.net/14b3/d3e6/95db/4923-88f9-45a683ddc282/06616615-4acb-4222-9de4-091240f920fc.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/14b3/d3e6/95db/4923-88f9-45a683ddc282/06616615-4acb-4222-9de4-091240f920fc.ttml2,com
1060_Burning,Burning,Movie,5488.0,A disfigured caretaker with shears returns to the summer camp where campers played a prank on him five years earlier.,12.0,3.2,sdh,https://cf-timedtext.aux.pv-cdn.net/67ae/048a/69d5/40af-8355-e6c8a28195c8/290a5880-8982-4804-8d0d-374cd683bc5f.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/67ae/048a/69d5/40af-8355-e6c8a28195c8/290a5880-8982-4804-8d0d-374cd683bc5f.ttml2,com
1061_Traitor,Traitor,Movie,6878.0,"When straight arrow FBI agent Roy Clayton (Guy Pearce of MOMENTO) heads up the investigation into a dangerous international conspiracy, all clues seem to lead back to former U.S. Special Operations officer, Samir Horn (Don Cheadle of CRASH).",51.0,4.1,sdh,https://cf-timedtext.aux.pv-cdn.net/ff7c/5c36/6fa2/4d7c-a622-44bc961648c8/dd140590-abe4-43b5-8ed4-d6f7c00f3204.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/ff7c/5c36/6fa2/4d7c-a622-44bc961648c8/dd140590-abe4-43b5-8ed4-d6f7c00f3204.ttml2,com
1064_Unknown,#Unknown,Movie,5890.0,"Years after a series of random murders took place in 2017, book author Michael Lane suddenly begins receiving haunting calls from the unknown. Instead of focusing on the encore to his successful debut book, he becomes obsessed with this mystery and spirals out of control as he unravels each victim caught in the web of a sadistic killer.",17.0,3.0,sdh,https://cf-timedtext.aux.pv-cdn.net/3ac0/0fa9/d030/498a-9f20-cd2c02dacea5/15e62f91-872c-4aef-92ba-e3b1bb92dc40.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/3ac0/0fa9/d030/498a-9f20-cd2c02dacea5/15e62f91-872c-4aef-92ba-e3b1bb92dc40.ttml2,com
1069_The_White_Orchid,The White Orchid,Movie,5282.0,"A shy Social Services investigator is reluctantly assigned to an unsolved, small-town homicide case. Taking both personal and professional chances, she slowly assumes the identity of the enigmatic blond victim - known only as ""The White Orchid"" - in hopes of solving the mysterious murder.",215.0,3.5,sdh,https://cf-timedtext.aux.pv-cdn.net/24d5/e26e/27fe/457c-92d6-122f418c218d/2a0e0c19-222c-4fe7-9594-d9e5544b6c81.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/24d5/e26e/27fe/457c-92d6-122f418c218d/2a0e0c19-222c-4fe7-9594-d9e5544b6c81.ttml2,com
1070_Zoombies,Zoombies,Movie,5241.0,"When a strange virus quickly spreads through a safari park and turns all the zoo animals undead, those left in the park must stop the creatures before they escape and zombify the whole city.",529.0,3.7,sdh,https://cf-timedtext.aux.pv-cdn.net/9ea2/cc4e/c042/40bf-985f-05a219812b38/82ce3b02-e51d-42bf-9a20-6b8b69c18e6d.dfxp,en-us,https://cf-timedtext.aux.pv-cdn.net/9ea2/cc4e/c042/40bf-985f-05a219812b38/82ce3b02-e51d-42bf-9a20-6b8b69c18e6d.dfxp,com
1072_The_Final_Storm,The Final Storm,Movie,5299.0,"Silas, a mysterious stranger, is seeking refuge from a severe thunderstorm on Tom's and his wife Gillian's farm. Before the power goes out, glimpses of weather related catastrophes on a global scale are hinted upon.  As Silas' dark past slowly reveals, the tension between the two men grows with Tom having to defend his family, fight for their survival, and perhaps the survival of all mankind.",541.0,3.2,sdh,https://cf-timedtext.aux.pv-cdn.net/03b3/969b/40fb/47c4-b287-a75e0468e167/d422cefd-d384-4e9e-897a-357db25c8cb4.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/03b3/969b/40fb/47c4-b287-a75e0468e167/d422cefd-d384-4e9e-897a-357db25c8cb4.ttml2,com
1073_The_Darkest_Hour,The Darkest Hour,Movie,5339.0,HD. Four young people in Moscow run for their lives when a race of invisible aliens attack Earth.,2038.0,4.4,sdh,https://cf-timedtext.aux.pv-cdn.net/0dbe/1dea/2d4d/45ed-bd40-b573044f3293/0a08a0ea-3c28-478b-9dc2-ad588e96c44e.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/0dbe/1dea/2d4d/45ed-bd40-b573044f3293/0a08a0ea-3c28-478b-9dc2-ad588e96c44e.ttml2,com
1075_A_Beautiful_Place_to_Die_A_Marthas_Vineyard_Mystery,A Beautiful Place to Die: A Martha's Vineyard Mystery,Movie,5040.0,"Former detective Jeff Jackson teams up with Dr. Zee Madeiras to track down their friend's missing emerald brooch, a thief, and also... a murderer. Stars Jesse Metcalfe, Sarah Lind.",433.0,4.6,sdh,https://cf-timedtext.aux.pv-cdn.net/da2a/ea04/fb0d/4b0f-b367-050d20f1b4da/b8e17bee-a139-4b5e-bfea-6935398e6462.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/da2a/ea04/fb0d/4b0f-b367-050d20f1b4da/b8e17bee-a139-4b5e-bfea-6935398e6462.ttml2,com
1076_Lone_Wolf_McQuade,Lone Wolf McQuade,Movie,6445.0,Texas Ranger (Chuck Norris) helps FBI stop a black-marketeer (David Carradine).,1366.0,4.7,sdh,https://cf-timedtext.aux.pv-cdn.net/fb90/3cc3/2f4d/4ce0-9e6d-c4f08d2b4110/c1841cbc-73c4-484f-9bfa-c049c64894be.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/fb90/3cc3/2f4d/4ce0-9e6d-c4f08d2b4110/c1841cbc-73c4-484f-9bfa-c049c64894be.ttml2,com
1077_Mortal_Passions,Mortal Passions,Movie,5757.0,A scheming woman seduces her brother-in-law in a plot to kill her husband in order to collect on his insurance money.,50.0,2.9,sdh,https://cf-timedtext.aux.pv-cdn.net/67c3/6c90/4054/4365-8862-9fc5b972d48d/070c7fa0-bc7a-4c05-ac03-9fb2575d60c2.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/67c3/6c90/4054/4365-8862-9fc5b972d48d/070c7fa0-bc7a-4c05-ac03-9fb2575d60c2.ttml2,com
